Stopnja prenaseljenosti stanovanja po: MERITVE, KOHEZIJSKA REGIJA , LETO;;;;;;;;
;;;;;;;;
Kategorija;Del Slovenije ;2011;2012;2013;2014;2015;2016;2017
Stopnja prenaseljenosti stanovanja (% oseb);;;;;;;;
 ;Vzhodna Slovenija;17.3;16.9;15.6;14.2;12.3;11.2;11.4
 ;Zahodna Slovenija;16.9;16.3;15.6;15.5;15.4;14.2;14.6
Število oseb v prenaseljenih stanovanjih;;;;;;;;
 ;Vzhodna Slovenija;177000;174000;164000;152000;136000;125000;127000
 ;Zahodna Slovenija;164000;158000;150000;146000;138000;128000;132000
;;;;;;;;
Vir: Statistièni urad Republike Slovenije (SILC). ;;;;;;;;
 ;;;;;;;;
STOPNJA PRENASELJENOSTI STANOVANJA je odstotek oseb, ki živijo v ;;;;;;;;
stanovanjih s premajhnim številom sob glede na število èlanov ;;;;;;;;
gospodinjstva. Pogoj, da je stanovanje prenaseljeno, je, da nima vsaj ;;;;;;;;
ene sobe na gospodinjstvo in hkrati še ene sobe za vsak par, ene sobe ;;;;;;;;
za vsako polnoletno samsko osebo, ene sobe za dva otroka istega ;;;;;;;;
spola, stara od 12 do 17 let, ene sobe za vsakega otroka razliènega ;;;;;;;;
spola, starega od 12 do 17 let, in ene sobe za 2 otroka, mlajša od 12 ;;;;;;;;
let.  ;;;;;;;;
Od leta 2011 dalje se med sobe šteje tudi kuhinja, èe meri vsaj 6 m2 ;;;;;;;;
in jo gospodinjstvo uporablja tudi kot jedilnico, dnevno sobo, ;;;;;;;;
delovno sobo ali za podobne namene.;;;;;;;;
;;;;;;;;
Povezene vsebine: ;;;;;;;;
- (seznam ;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;
e=8141 target=_blank) Metodološka pojasnila;;;;;;;;
;;;;;;;;
Nekateri seštevki se zaradi zaokroževanja ne ujemajo.;;;;;;;;
;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;;;;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 2. ;;;;;;;;
Podatki o spremembah posameznih kohezijskih regij so dostopni tudi na ;;;;;;;;
(seznam HREF=http://www.stat.si/dokument/8483 TARGET=_blank) povezavi.;;;;;;;;
